experiment,dataset,top_1_acc_diff,top_1_acc_improvement,top_3_acc_diff,top_3_acc_improvement,top_5_acc_diff,top_5_acc_improvement,top_10_acc_diff,top_10_acc_improvement,top_15_acc_diff,top_15_acc_improvement
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_3,0.207,0.140,0.147,0.175,0.151,0.149,0.038,0.113,0.019,0.074
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_1,0.199,0.148,0.206,0.115,0.206,0.094,0.071,0.080,0.030,0.063
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_5,0.215,0.132,0.144,0.177,0.163,0.137,0.057,0.095,0.026,0.067
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_0.5_zero_shot,0.081,0.235,0.073,0.221,0.068,0.159,0.000,0.107,0.000,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_0.5_few_shot_1,0.021,0.294,0.122,0.173,0.069,0.158,0.012,0.095,0.003,0.056
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_zero_shot,0.025,0.291,0.065,0.229,0.045,0.181,0.008,0.099,0.005,0.054
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_3,0.026,0.290,0.042,0.252,0.031,0.195,0.002,0.105,0.001,0.058
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_1,0.035,0.280,0.092,0.202,0.050,0.177,0.006,0.101,0.001,0.058
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_5,0.008,0.307,0.043,0.252,0.032,0.195,0.008,0.099,0.004,0.055
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.057,0.259,0.074,0.221,0.083,0.143,0.035,0.072,0.023,0.036
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.0_few_shot_5,0.021,0.294,0.066,0.228,0.066,0.160,0.000,0.107,0.000,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.0_rag,0.097,0.218,0.135,0.160,0.095,0.131,0.026,0.081,0.017,0.042
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.0_rag_few_shot_1,0.082,0.233,0.140,0.154,0.108,0.119,0.032,0.074,0.022,0.038
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_zero_shot,0.090,0.226,0.081,0.213,0.058,0.169,0.001,0.106,0.000,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_3,0.033,0.282,0.073,0.222,0.062,0.165,0.007,0.100,0.002,0.057
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_1,0.067,0.248,0.067,0.227,0.070,0.157,0.000,0.107,0.000,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_5,0.021,0.294,0.052,0.242,0.054,0.173,0.001,0.106,0.001,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_rag,0.061,0.254,0.096,0.199,0.071,0.156,0.008,0.098,0.005,0.054
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_3,0.082,0.233,0.143,0.152,0.108,0.119,0.012,0.095,0.004,0.055
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_1,0.086,0.229,0.146,0.148,0.113,0.114,0.022,0.085,0.014,0.045
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_5,0.102,0.213,0.130,0.165,0.090,0.136,0.019,0.088,0.012,0.047
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_zero_shot,0.052,0.263,0.086,0.209,0.067,0.159,0.004,0.103,0.003,0.057
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_few_shot_3,0.014,0.301,0.054,0.241,0.056,0.171,0.000,0.107,0.000,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_few_shot_1,0.028,0.287,0.066,0.228,0.069,0.158,0.004,0.103,0.000,0.059
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_few_shot_5,0.027,0.288,0.030,0.265,0.050,0.177,0.005,0.102,0.001,0.058
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_rag,0.099,0.216,0.088,0.206,0.040,0.187,0.004,0.103,0.002,0.057
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_rag_few_shot_3,0.124,0.191,0.117,0.178,0.077,0.150,0.005,0.101,0.004,0.056
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_rag_few_shot_1,0.098,0.217,0.180,0.115,0.102,0.125,0.006,0.101,0.003,0.056
gpt-3.5-turbo-0125_0.5_rag_few_shot_1,gpt-4-0125-preview_1.0_rag_few_shot_5,0.082,0.233,0.130,0.165,0.083,0.144,0.009,0.098,0.006,0.053
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_0.5_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_0.5_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.0_rag,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.0_rag_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_rag,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_rag,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_rag_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_rag_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_1,gpt-4-0125-preview_1.0_rag_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_0.5_zero_shot,0.070,0.283,0.046,0.247,0.060,0.208,0.097,0.144,0.048,0.104
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_0.5_few_shot_1,0.051,0.302,0.044,0.249,0.048,0.220,0.055,0.186,0.033,0.119
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_zero_shot,0.120,0.233,0.089,0.204,0.072,0.196,0.124,0.117,0.072,0.081
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_3,0.078,0.275,0.079,0.214,0.041,0.227,0.072,0.169,0.036,0.116
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_1,0.048,0.305,0.026,0.267,0.024,0.244,0.060,0.181,0.031,0.121
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_few_shot_5,0.069,0.284,0.040,0.253,0.036,0.232,0.053,0.188,0.029,0.124
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.046,0.307,0.054,0.239,0.076,0.192,0.136,0.105,0.102,0.050
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.0_few_shot_5,0.014,0.339,0.070,0.223,0.045,0.223,0.062,0.179,0.035,0.118
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.0_rag,0.071,0.282,0.036,0.257,0.048,0.220,0.088,0.153,0.063,0.089
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.0_rag_few_shot_1,0.000,0.353,0.009,0.284,0.066,0.203,0.121,0.120,0.070,0.082
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.5_zero_shot,0.040,0.313,0.029,0.264,0.022,0.246,0.069,0.172,0.046,0.106
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_3,0.029,0.324,0.068,0.225,0.063,0.205,0.061,0.180,0.037,0.115
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_1,0.010,0.343,0.038,0.255,0.025,0.243,0.051,0.190,0.036,0.116
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.5_few_shot_5,0.000,0.353,0.021,0.272,0.013,0.255,0.056,0.185,0.035,0.117
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.5_rag,0.025,0.328,0.007,0.286,0.025,0.243,0.055,0.186,0.049,0.104
gpt-3.5-turbo-0125_1.0_rag_few_shot_1,gpt-4-0125-preview_0.5_rag_few_shot_3,0.000,0.353,0.009,0.284,0.043,0.225,0.087,0.154,0.047,0.106
